project_id	characteristics[strain/breed]	comment[data file]	fasta	exclude	exclude_reason	labelling
PXD029931	Escherichia coli str. K-12 substr. MG1655	210308_13_Orbi2_KN_SER_G180_T210_K2rmas_1-84-4_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210309_09_Orbi2_KN_SER_G180_T210_K2rmas_1-84-5_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210308_11_Orbi2_KN_SER_G180_T210_K2rmas_1-84-6_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210311_05_Orbi2_SK_SER_G180_T210_K2rmas_4-84-4_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210309_01_Orbi2_KN_SER_G180_T210_K2rmas_4-84-5_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210308_09_Orbi2_KN_SER_G180_T210_K2rmas_4-84-6_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210309_13_Orbi2_KN_SER_G180_T210_K2rmas_2-84-8_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210311_09_Orbi2_SK_SER_G180_T210_K2rmas_2-84-10_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD029931	Escherichia coli str. K-12 substr. MG1655	210311_01_Orbi2_SK_SER_G180_T210_K2rmas_2-84-11_2,25ug_iRT_150pg.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD030346	Escherichia coli str. K-12 substr. MG1655	20210425_LCC_ZK_Input_40V.raw	uniprot_UP000000625_17-11-22_K12	FALSE		SILAC
PXD030346	Escherichia coli str. K-12 substr. MG1655	20210425_LCC_ZK_Input_60V.raw	uniprot_UP000000625_17-11-22_K12	FALSE		SILAC
PXD030346	Escherichia coli str. K-12 substr. MG1655	20210425_LCC_ZK_Input_80V.raw	uniprot_UP000000625_17-11-22_K12	FALSE		SILAC
PXD030346	Escherichia coli str. K-12 substr. MG1655	20210425_LCC_ZK_Elute_40V.raw	uniprot_UP000000625_17-11-22_K12	FALSE		SILAC
PXD030346	Escherichia coli str. K-12 substr. MG1655	20210425_LCC_ZK_Elute_60V.raw	uniprot_UP000000625_17-11-22_K12	FALSE		SILAC
PXD030346	Escherichia coli str. K-12 substr. MG1655	20210425_LCC_ZK_Elute_80V.raw	uniprot_UP000000625_17-11-22_K12	FALSE		SILAC
PXD008369	Escherichia coli str. K-12 substr. W3110	OR13_20160922_CMP_Ecoli_glucose_stat_2mg_IMAC_R1.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		
PXD008369	Escherichia coli str. K-12 substr. W3110	OR13_20160922_CMP_Ecoli_glucose_stat_2mg_IMAC_R2.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		
PXD008369	Escherichia coli str. K-12 substr. W3110	OR13_20160922_CMP_Ecoli_glucose_stat_2mg_IMAC_R3.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		
PXD008369	Escherichia coli str. K-12 substr. W3110	OR13_20160922_CMP_Ecoli_glycerol_stat_2mg_IMAC_R1.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		
PXD008369	Escherichia coli str. K-12 substr. W3110	OR13_20160922_CMP_Ecoli_glycerol_stat_2mg_IMAC_R2.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		
PXD008369	Escherichia coli str. K-12 substr. W3110	OR13_20160922_CMP_Ecoli_glycerol_stat_2mg_IMAC_R3.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		
PXD008369	Escherichia coli str. K-12 substr. W3110	OR13_A2_20161014_CMP_Ecoli_glucose_exp_2mg_IMAC_R1.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		
PXD008369	Escherichia coli str. K-12 substr. W3110	OR13_A2_20161014_CMP_Ecoli_glucose_exp_2mg_IMAC_R2.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		
PXD008369	Escherichia coli str. K-12 substr. W3110	OR13_A2_20161014_CMP_Ecoli_glucose_exp_2mg_IMAC_R3.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		
PXD008369	Escherichia coli str. K-12 substr. W3110	OR13_A2_20161014_CMP_Ecoli_glycerol_exp_2mg_IMAC_R1.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		
PXD008369	Escherichia coli str. K-12 substr. W3110	OR13_A2_20161014_CMP_Ecoli_glycerol_exp_2mg_IMAC_R2.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		
PXD008369	Escherichia coli str. K-12 substr. W3110	OR13_A2_20161014_CMP_Ecoli_glycerol_exp_2mg_IMAC_R3.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		
PXD008369	Escherichia coli str. K-12 substr. W3110	OR10_20160316_CMP_Ecoli_glucose_exp_4mg_IMAC_80pc.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		
PXD008369	Escherichia coli str. K-12 substr. W3110	OR10_20160316_CMP_Ecoli_glucose_stat_4mg_IMAC_80pc.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		
PXD008369	Escherichia coli str. K-12 substr. W3110	OR10_20160316_CMP_Ecoli_glyc_stat_4mg_IMAC_80pc.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		
PXD008369	Escherichia coli str. K-12 substr. W3110	OR11_20160131_CMP_Ecoli_1mg_IMAC_80pc.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		
PXD008369	Escherichia coli str. K-12 substr. W3110	OR11_20160209_CMP_Ecoli_PT_1mg_80pc.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		
PXD008369	Escherichia coli str. K-12 substr. W3110	OR11_20160412_CMP_Ecoli_glucose_exp_1mg_smallC_80pc.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		
PXD043473	Escherichia coli BL21(DE3)	20221215_HF2_01_Ecoli_bulk22127_FToP_TM6.raw	uniprot_UP000002032_07-05-24_BL21	FALSE		TMT
PXD043473	Escherichia coli BL21(DE3)	20221220_Ec_01_RZ_SBP_Exp1.raw	uniprot_UP000002032_07-05-24_BL21	FALSE		TMT
PXD043473	Escherichia coli BL21(DE3)	20221220_Ec_01_RZ_SBP_Exp2.raw	uniprot_UP000002032_07-05-24_BL21	FALSE		TMT
PXD043473	Escherichia coli BL21(DE3)	20221220_Ec_01_RZ_SBP_Exp3.raw	uniprot_UP000002032_07-05-24_BL21	FALSE		TMT
PXD043473	Escherichia coli BL21(DE3)	20221220_Ec_01_RZ_SBP_Exp4.raw	uniprot_UP000002032_07-05-24_BL21	FALSE		TMT
PXD043473	Escherichia coli BL21(DE3)	20221220_Ec_01_RZ_SBP_Exp5.raw	uniprot_UP000002032_07-05-24_BL21	FALSE		TMT
PXD043473	Escherichia coli BL21(DE3)	20221220_Ec_01_RZ_SBP_Exp6.raw	uniprot_UP000002032_07-05-24_BL21	FALSE		TMT
PXD043473	Escherichia coli BL21(DE3)	20221220_Ec_01_RZ_SBP_Exp7.raw	uniprot_UP000002032_07-05-24_BL21	FALSE		TMT
PXD043473	Escherichia coli BL21(DE3)	20221220_Ec_01_RZ_SBP_Exp8.raw	uniprot_UP000002032_07-05-24_BL21	FALSE		TMT
PXD043473	Escherichia coli BL21(DE3)	20221220_Ec_01_RZ_SBP_Exp9.raw	uniprot_UP000002032_07-05-24_BL21	FALSE		TMT
PXD043473	Escherichia coli BL21(DE3)	20221220_Ec_01_RZ_SBP_Exp10.raw	uniprot_UP000002032_07-05-24_BL21	FALSE		TMT
PXD043473	Escherichia coli BL21(DE3)	20221220_Ec_01_RZ_SBP_Exp11.raw	uniprot_UP000002032_07-05-24_BL21	FALSE		TMT
PXD043473	Escherichia coli BL21(DE3)	20221220_Ec_01_RZ_SBP_Exp12.raw	uniprot_UP000002032_07-05-24_BL21	FALSE		TMT
PXD043473	Escherichia coli BL21(DE3)	20221220_Ec_01_RZ_SBP_Exp13.raw	uniprot_UP000002032_07-05-24_BL21	FALSE		TMT
PXD043473	Escherichia coli BL21(DE3)	20221220_Ec_01_RZ_SBP_Exp14.raw	uniprot_UP000002032_07-05-24_BL21	FALSE		TMT
PXD043473	Escherichia coli BL21(DE3)	20221220_Ec_01_RZ_SBP_Exp15.raw	uniprot_UP000002032_07-05-24_BL21	FALSE		TMT
PXD043473	Escherichia coli BL21(DE3)	20221220_Ec_01_RZ_SBP_Exp16.raw	uniprot_UP000002032_07-05-24_BL21	FALSE		TMT
PXD032954	Not available	210129_mCherry_TrypsinOnly_3h.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD032954	Not available	210129_mCherry_TrypsinOnly.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD032954	Not available	210129_mCherry_TrypsinLysC_3h.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD032954	Not available	210129_mCherry_TrypsinLysC.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD045084	Escherichia coli str. K-12 substr. MG1655	MS2200232_C_4h.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD045084	Escherichia coli str. K-12 substr. MG1655	MS2200232_M_4h.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD045084	Escherichia coli str. K-12 substr. MG1655	MS2200232_Y_4h.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD045084	Escherichia coli str. K-12 substr. MG1655	MS2200232_b_4h.raw	uniprot_UP000000625_17-11-22_K12	FALSE		
PXD037221	Escherichia coli str. K-12 substr. W3110	HFX4_FFRA20H101796-1A.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		TMT
PXD037221	Escherichia coli str. K-12 substr. W3110	HFX4_FFRA20H101797-1A.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		TMT
PXD037221	Escherichia coli str. K-12 substr. W3110	HFX4_FFRA20H101798-1A.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		TMT
PXD037221	Escherichia coli str. K-12 substr. W3110	HFX4_FFRA20H101799-1A.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		TMT
PXD037221	Escherichia coli str. K-12 substr. W3110	HFX4_FFRA20H101800-1A.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		TMT
PXD037221	Escherichia coli str. K-12 substr. W3110	HFX4_FFRA20H101801-1A.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		TMT
PXD037221	Escherichia coli str. K-12 substr. W3110	HFX4_FFRA20H101802-1A.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		TMT
PXD037221	Escherichia coli str. K-12 substr. W3110	HFX4_FFRA20H101803-1A.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		TMT
PXD037221	Escherichia coli str. K-12 substr. W3110	HFX4_FFRA20H101804-1A.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		TMT
PXD037221	Escherichia coli str. K-12 substr. W3110	HFX4_FFRA20H101805-1A.raw	uniprot_UP000868987_02-11-23_W3110	FALSE		TMT
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR1_run1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR1_run2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR2_run1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR2_run2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR3_run1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR3_run2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR3_run3.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC110217QE_antiEcoli_#28_BR3_run4.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112017QE_antiEcoli_#18_BR2_FASP2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112017QE_antiEcoli_#18_BR2_FASP3.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112017QE_antiEcoli_#19_BR2_FASP1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112017QE_antiEcoli_#19_BR2_FASP2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112017QE_antiEcoli_#19_BR2_FASP3.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112117QE_antiEcoli_#21_BR2_FASP1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112117QE_antiEcoli_#21_BR2_FASP2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112117QE_antiEcoli_#21_BR2_FASP3.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112117QE_antiEcoli_#27_BR2_FASP1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112117QE_antiEcoli_#27_BR2_FASP2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112117QE_antiEcoli_#27_BR2_FASP3.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112317QE_antiEcoli_#18_BR3_FASP1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112317QE_antiEcoli_#18_BR3_FASP2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112317QE_antiEcoli_#18_BR3_FASP3.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112317QE_antiEcoli_#19_BR3_FASP1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112317QE_antiEcoli_#19_BR3_FASP2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112317QE_antiEcoli_#29_BR2_FASP1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112317QE_antiEcoli_#29_BR2_FASP2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112317QE_antiEcoli_#29_BR2_FASP3.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112317QE_antiEcoli_#30_BR2_FASP1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112317QE_antiEcoli_#30_BR2_FASP2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC112317QE_antiEcoli_#30_BR2_FASP3.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC11517QE_antiEcoli_#18_BR1_FASP1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC11517QE_antiEcoli_#18_BR1_FASP2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC11517QE_antiEcoli_#18_BR1_FASP3.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC11517QE_antiEcoli_#18_BR2_FASP1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC11517QE_antiEcoli_#19_BR1_FASP1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC11517QE_antiEcoli_#19_BR1_FASP2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC11517QE_antiEcoli_#19_BR1_FASP3.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC11517QE_antiEcoli_#21_BR1_FASP1.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC11517QE_antiEcoli_#21_BR1_FASP2.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
PXD016001	Escherichia coli str. W0153	1DLC11517QE_antiEcoli_#21_BR1_FASP3.raw	uniprot_UP000869295_13-03-23_AB1157	FALSE		
