source name,characteristics[organism],characteristics[organism part],characteristics[strain/breed],characteristics[disease],characteristics[cell type],characteristics[treatment],characteristics[biological replicate],assay name,technology type,comment[technical replicate],comment[data file],comment[fraction identifier],comment[label],comment[instrument],comment[cleavage agent details],comment[fragment mass tolerance],comment[precursor mass tolerance],comment[reduction reagent],comment[alkylation reagent],comment[modification parameters],comment[modification parameters].1,comment[dissociation method],comment[collision energy],comment[file uri],Factor value[treatment],project_id,characteristics[growth stage],comment[cleavage agent details].1,comment[modification parameters].2,comment[modification parameters].3,Factor value[growth stage],characteristics[enrichment protocol],comment[compensation voltage],comment[tool metadata],characteristics[growth condition],characteristics[enrichment process],comment[label].1,comment[fractionation method],characteristics[isolate],Factor value[isolate],factor value[treatment],characteristics[plasmid],Factor value[plasmid],Factor value[strain/breed],Factor value[growth condition],characteristics[pathotype],characteristics[time],Factor value[time],Factor value[organism part],comment[fraction],comment[modification parameters].4,Factor value[fraction],Factor value[enrichment process],factor value[time],factor value[growth condition]
CuI_2,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,CuI,2,Run 11,Proteomic profiling by mass spectrometry,1,191213_CuI_2.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,4.5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_CuI_2.raw,CuI,PXD019288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuI_3,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,CuI,3,Run 12,Proteomic profiling by mass spectrometry,1,191213_CuI_3.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,4.5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_CuI_3.raw,CuI,PXD019288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control_1,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Control_30c,1,Run 13,Proteomic profiling by mass spectrometry,1,191213_control_30c_1.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,4.5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_control_30c_1.raw,Control_30c,PXD019288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control_2,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Control_30c,2,Run 14,Proteomic profiling by mass spectrometry,1,191213_control_30c_2.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,4.5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_control_30c_2.raw,Control_30c,PXD019288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control_3,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Control_30c,3,Run 15,Proteomic profiling by mass spectrometry,1,191213_control_30c_3.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,4.5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_control_30c_3.raw,Control_30c,PXD019288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control_4,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Control_Ag,1,Run 16,Proteomic profiling by mass spectrometry,1,191213_control_Ag_1.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,4.5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_control_Ag_1.raw,Control_Ag,PXD019288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control_5,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Control_Ag,2,Run 17,Proteomic profiling by mass spectrometry,1,191213_control_Ag_2.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,4.5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_control_Ag_2.raw,Control_Ag,PXD019288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control_6,Escherichia coli,Cell lysate,Not available,Not applicable,Prokaryotic cell,Control_Ag,3,Run 18,Proteomic profiling by mass spectrometry,1,191213_control_Ag_3.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,4.5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_control_Ag_3.raw,Control_Ag,PXD019288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 1,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 1,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip1.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 2,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 2,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip2.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 3,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 3,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip1.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 4,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 4,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip2.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 5,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 5,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip1.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 6,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 6,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip2.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 7,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 7,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip1.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 8,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 8,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip2.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 9,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 9,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip1.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 10,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 10,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip2.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 11,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 11,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip1.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 12,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 12,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip2.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 13,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 13,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#28_BR1_FASP1_tip1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#28_BR1_FASP1_tip1.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 14,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 14,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#28_BR1_FASP1_tip2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#28_BR1_FASP1_tip2.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 15,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 15,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#28_BR1_FASP2_tip1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#28_BR1_FASP2_tip1.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 16,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 16,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#28_BR1_FASP2_tip2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#28_BR1_FASP2_tip2.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 17,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 17,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#28_BR1_run1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#28_BR1_run1.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 18,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 18,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#28_BR1_run2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#28_BR1_run2.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample 19,Escherichia coli,Cell lysate,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Not available,Run 19,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#28_BR2_run1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),20 ppm,5 ppm,DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#28_BR2_run1.raw,,PXD016074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
