source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[file uri]
Sample 11	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 11	Proteomic profiling by mass spectrometry	Not available	Map-2-5.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-2-5.raw
Sample 12	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 12	Proteomic profiling by mass spectrometry	Not available	Map-2-6.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-2-6.raw
Sample 13	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 13	Proteomic profiling by mass spectrometry	Not available	Map-3-10.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-10.raw
Sample 14	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 14	Proteomic profiling by mass spectrometry	Not available	Map-3-11.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-11.raw
Sample 15	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 15	Proteomic profiling by mass spectrometry	Not available	Map-3-12.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-12.raw
Sample 16	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 16	Proteomic profiling by mass spectrometry	Not available	Map-3-13.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-13.raw
Sample 17	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 17	Proteomic profiling by mass spectrometry	Not available	Map-3-14.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-14.raw
Sample 18	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 18	Proteomic profiling by mass spectrometry	Not available	Map-3-15.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-15.raw
Sample 19	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 19	Proteomic profiling by mass spectrometry	Not available	Map-3-16.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-16.raw
Sample 20	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 20	Proteomic profiling by mass spectrometry	Not available	Map-3-17.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-17.raw
Sample 21	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 21	Proteomic profiling by mass spectrometry	Not available	Map-3-18.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-18.raw
Sample 22	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 22	Proteomic profiling by mass spectrometry	Not available	Map-3-19.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-19.raw
Sample 23	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 23	Proteomic profiling by mass spectrometry	Not available	Map-3-1re.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-1re.raw
Sample 24	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 24	Proteomic profiling by mass spectrometry	Not available	Map-3-2.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-2.raw
Sample 25	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 25	Proteomic profiling by mass spectrometry	Not available	Map-3-20.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-20.raw
Sample 26	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 26	Proteomic profiling by mass spectrometry	Not available	Map-3-21.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-21.raw
Sample 27	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 27	Proteomic profiling by mass spectrometry	Not available	Map-3-22.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-22.raw
Sample 28	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 28	Proteomic profiling by mass spectrometry	Not available	Map-3-23.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-23.raw
Sample 29	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 29	Proteomic profiling by mass spectrometry	Not available	Map-3-24.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-24.raw
Sample 30	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 30	Proteomic profiling by mass spectrometry	Not available	Map-3-3.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-3.raw
Sample 31	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 31	Proteomic profiling by mass spectrometry	Not available	Map-3-4.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-4.raw
Sample 32	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 32	Proteomic profiling by mass spectrometry	Not available	Map-3-5.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-5.raw
Sample 33	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 33	Proteomic profiling by mass spectrometry	Not available	Map-3-6.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-6.raw
Sample 34	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 34	Proteomic profiling by mass spectrometry	Not available	Map-3-7.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-7.raw
Sample 35	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 35	Proteomic profiling by mass spectrometry	Not available	Map-3-8.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-8.raw
Sample 36	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 36	Proteomic profiling by mass spectrometry	Not available	Map-3-9.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-9.raw
Sample 37	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 37	Proteomic profiling by mass spectrometry	Not available	Map-4-10.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-10.raw
Sample 38	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 38	Proteomic profiling by mass spectrometry	Not available	Map-4-11.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-11.raw
Sample 39	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 39	Proteomic profiling by mass spectrometry	Not available	Map-4-12.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-12.raw
Sample 40	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 40	Proteomic profiling by mass spectrometry	Not available	Map-4-13.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-13.raw
Sample 41	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 41	Proteomic profiling by mass spectrometry	Not available	Map-4-14.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-14.raw
Sample 42	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	Not available	Run 42	Proteomic profiling by mass spectrometry	Not available	Map-4-15.raw	Not available	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	0.02 Da	10 ppm	TCEP	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-4-15.raw
