source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]
E22_C1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	4	Run 11	Proteomic profiling by mass spectrometry	1	Andrew_Sue_Ecoli_E22_C1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4; TA=C"	"NT=HCD; AC=MS:1002481"	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E22_C1.raw
E23_C1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	5	Run 12	Proteomic profiling by mass spectrometry	1	Andrew_Sue_Ecoli_E23_C1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4; TA=C"	"NT=HCD; AC=MS:1002481"	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E23_C1.raw
E24_C1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	6	Run 13	Proteomic profiling by mass spectrometry	1	Andrew_Sue_Ecoli_E24_C1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4; TA=C"	"NT=HCD; AC=MS:1002481"	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E24_C1.raw
E2_C1_r	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	Run 14	Proteomic profiling by mass spectrometry	Not available	Andrew_Sue_Ecoli_E2_C1_r.raw	Not available	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4; TA=C"	"NT=HCD; AC=MS:1002481"	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E2_C1_r.raw
E3_C1_r	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	Run 15	Proteomic profiling by mass spectrometry	Not available	Andrew_Sue_Ecoli_E3_C1_r.raw	Not available	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4; TA=C"	"NT=HCD; AC=MS:1002481"	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E3_C1_r.raw
E4_C1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	Run 16	Proteomic profiling by mass spectrometry	Not available	Andrew_Sue_Ecoli_E4_C1.raw	Not available	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4; TA=C"	"NT=HCD; AC=MS:1002481"	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E4_C1.raw
E5_C1_r	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	Run 17	Proteomic profiling by mass spectrometry	Not available	Andrew_Sue_Ecoli_E5_C1_r.raw	Not available	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4; TA=C"	"NT=HCD; AC=MS:1002481"	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E5_C1_r.raw
E6_C1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	Run 18	Proteomic profiling by mass spectrometry	Not available	Andrew_Sue_Ecoli_E6_C1.raw	Not available	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4; TA=C"	"NT=HCD; AC=MS:1002481"	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E6_C1.raw
E7_C1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	Run 19	Proteomic profiling by mass spectrometry	Not available	Andrew_Sue_Ecoli_E7_C1.raw	Not available	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4; TA=C"	"NT=HCD; AC=MS:1002481"	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E7_C1.raw
E8_C1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	Run 20	Proteomic profiling by mass spectrometry	Not available	Andrew_Sue_Ecoli_E8_C1.raw	Not available	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4; TA=C"	"NT=HCD; AC=MS:1002481"	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E8_C1.raw
E9_C1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	Not available	Run 21	Proteomic profiling by mass spectrometry	Not available	Andrew_Sue_Ecoli_E9_C1.raw	Not available	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4; TA=C"	"NT=HCD; AC=MS:1002481"	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E9_C1.raw
