,source name,characteristics[organism],characteristics[organism part],characteristics[culture type],characteristics[strain/breed],characteristics[disease],characteristics[cell type],characteristics[biological replicate],assay name,technology type,comment[technical replicate],comment[data file],comment[fraction identifier],comment[label],comment[instrument],comment[cleavage agent details],comment[reduction reagent],comment[alkylation reagent],comment[modification parameters],comment[modification parameters].1,comment[modification parameters].2,comment[dissociation method],comment[collision energy],comment[file uri],Factor value[culture type],pride_id,filename,characteristics[treatment],comment[fragment mass tolerance],comment[precursor mass tolerance],Factor value[treatment],characteristics[growth stage],comment[cleavage agent details].1,comment[modification parameters].3,Factor value[growth stage],characteristics[isolate],Factor value[isolate],characteristics[plasmid],Factor value[plasmid],characteristics[growth condition],Factor value[strain/breed],Factor value[growth condition],characteristics[pathotype],comment[fractionation method],Factor value[organism part],characteristics[enrichment process],Factor value[enrichment process]
4,CuII_2,Escherichia coli,Cell lysate,,Not available,Not applicable,Prokaryotic cell,2,Run 5,Proteomic profiling by mass spectrometry,1,191213_CuII_2.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_CuII_2.raw,,PXD019288,191213_CuII_2.raw,CuII,20 ppm,4.5 ppm,CuII,,,,,,,,,,,,,,,,
5,CuII_3,Escherichia coli,Cell lysate,,Not available,Not applicable,Prokaryotic cell,3,Run 6,Proteomic profiling by mass spectrometry,1,191213_CuII_3.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_CuII_3.raw,,PXD019288,191213_CuII_3.raw,CuII,20 ppm,4.5 ppm,CuII,,,,,,,,,,,,,,,,
6,CuII_GSH_1,Escherichia coli,Cell lysate,,Not available,Not applicable,Prokaryotic cell,1,Run 7,Proteomic profiling by mass spectrometry,1,191213_CuII_GSH_1.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_CuII_GSH_1.raw,,PXD019288,191213_CuII_GSH_1.raw,CuII_GSH,20 ppm,4.5 ppm,CuII_GSH,,,,,,,,,,,,,,,,
7,CuII_GSH_2,Escherichia coli,Cell lysate,,Not available,Not applicable,Prokaryotic cell,2,Run 8,Proteomic profiling by mass spectrometry,1,191213_CuII_GSH_2.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_CuII_GSH_2.raw,,PXD019288,191213_CuII_GSH_2.raw,CuII_GSH,20 ppm,4.5 ppm,CuII_GSH,,,,,,,,,,,,,,,,
8,CuII_GSH_3,Escherichia coli,Cell lysate,,Not available,Not applicable,Prokaryotic cell,3,Run 9,Proteomic profiling by mass spectrometry,1,191213_CuII_GSH_3.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_CuII_GSH_3.raw,,PXD019288,191213_CuII_GSH_3.raw,CuII_GSH,20 ppm,4.5 ppm,CuII_GSH,,,,,,,,,,,,,,,,
9,CuI_1,Escherichia coli,Cell lysate,,Not available,Not applicable,Prokaryotic cell,1,Run 10,Proteomic profiling by mass spectrometry,1,191213_CuI_1.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_CuI_1.raw,,PXD019288,191213_CuI_1.raw,CuI,20 ppm,4.5 ppm,CuI,,,,,,,,,,,,,,,,
10,CuI_2,Escherichia coli,Cell lysate,,Not available,Not applicable,Prokaryotic cell,2,Run 11,Proteomic profiling by mass spectrometry,1,191213_CuI_2.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_CuI_2.raw,,PXD019288,191213_CuI_2.raw,CuI,20 ppm,4.5 ppm,CuI,,,,,,,,,,,,,,,,
11,CuI_3,Escherichia coli,Cell lysate,,Not available,Not applicable,Prokaryotic cell,3,Run 12,Proteomic profiling by mass spectrometry,1,191213_CuI_3.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_CuI_3.raw,,PXD019288,191213_CuI_3.raw,CuI,20 ppm,4.5 ppm,CuI,,,,,,,,,,,,,,,,
12,Control_1,Escherichia coli,Cell lysate,,Not available,Not applicable,Prokaryotic cell,1,Run 13,Proteomic profiling by mass spectrometry,1,191213_control_30c_1.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_control_30c_1.raw,,PXD019288,191213_control_30c_1.raw,Control_30c,20 ppm,4.5 ppm,Control_30c,,,,,,,,,,,,,,,,
13,Control_2,Escherichia coli,Cell lysate,,Not available,Not applicable,Prokaryotic cell,2,Run 14,Proteomic profiling by mass spectrometry,1,191213_control_30c_2.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_control_30c_2.raw,,PXD019288,191213_control_30c_2.raw,Control_30c,20 ppm,4.5 ppm,Control_30c,,,,,,,,,,,,,,,,
14,Control_3,Escherichia coli,Cell lysate,,Not available,Not applicable,Prokaryotic cell,3,Run 15,Proteomic profiling by mass spectrometry,1,191213_control_30c_3.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_control_30c_3.raw,,PXD019288,191213_control_30c_3.raw,Control_30c,20 ppm,4.5 ppm,Control_30c,,,,,,,,,,,,,,,,
15,Control_4,Escherichia coli,Cell lysate,,Not available,Not applicable,Prokaryotic cell,1,Run 16,Proteomic profiling by mass spectrometry,1,191213_control_Ag_1.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_control_Ag_1.raw,,PXD019288,191213_control_Ag_1.raw,Control_Ag,20 ppm,4.5 ppm,Control_Ag,,,,,,,,,,,,,,,,
16,Control_5,Escherichia coli,Cell lysate,,Not available,Not applicable,Prokaryotic cell,2,Run 17,Proteomic profiling by mass spectrometry,1,191213_control_Ag_2.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_control_Ag_2.raw,,PXD019288,191213_control_Ag_2.raw,Control_Ag,20 ppm,4.5 ppm,Control_Ag,,,,,,,,,,,,,,,,
17,Control_6,Escherichia coli,Cell lysate,,Not available,Not applicable,Prokaryotic cell,3,Run 18,Proteomic profiling by mass spectrometry,1,191213_control_Ag_3.raw,1,Label free sample,NT=Q Exactive HF,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4; TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_control_Ag_3.raw,,PXD019288,191213_control_Ag_3.raw,Control_Ag,20 ppm,4.5 ppm,Control_Ag,,,,,,,,,,,,,,,,
0,Sample 1,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 1,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip1.raw,,PXD016074,1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip1.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
1,Sample 2,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 2,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip2.raw,,PXD016074,1DLC110217QE_antiEcoli_#11_BR1_FASP1_tip2.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
2,Sample 3,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 3,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip1.raw,,PXD016074,1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip1.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
3,Sample 4,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 4,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip2.raw,,PXD016074,1DLC110217QE_antiEcoli_#11_BR1_FASP2_tip2.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
4,Sample 5,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 5,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip1.raw,,PXD016074,1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip1.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
5,Sample 6,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 6,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip2.raw,,PXD016074,1DLC110217QE_antiEcoli_#11_BR2_FASP1_tip2.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
6,Sample 7,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 7,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip1.raw,,PXD016074,1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip1.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
7,Sample 8,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 8,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip2.raw,,PXD016074,1DLC110217QE_antiEcoli_#11_BR2_FASP2_tip2.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
8,Sample 9,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 9,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip1.raw,,PXD016074,1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip1.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
9,Sample 10,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 10,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip2.raw,,PXD016074,1DLC110217QE_antiEcoli_#11_BR3_FASP1_tip2.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
10,Sample 11,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 11,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip1.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip1.raw,,PXD016074,1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip1.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
11,Sample 12,Escherichia coli,Cell lysate,,Escherichia coli str. W0153,Not applicable,Prokaryotic cell,Not available,Run 12,Proteomic profiling by mass spectrometry,1,1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip2.raw,1,Label free sample,NT=Q Exactive,NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P),DTT,IAA,NT=Carbamidomethylation; AC=UNIMOD:4;TA=C,NT=Oxidation; MT=Variable; TA=M,,NT=HCD; AC=MS:1002481,27% NCE,https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016074/1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip2.raw,,PXD016074,1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip2.raw,Not available,20 ppm,5 ppm,,,,,,,,,,,,,,,,,
