source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[time]	characteristics[enrichment process]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]
20170422_OR13_MH_MCR1_Day4_blk_2.raw	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell		2	4 day		Proteomic profiling by mass spectrometry	run 35	1	20170422_OR13_MH_MCR1_Day4_blk_2.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
20170422_OR13_MH_MCR1_Day4_blk_3.raw	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell		3	4 day		Proteomic profiling by mass spectrometry	run 36	1	20170422_OR13_MH_MCR1_Day4_blk_3.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR14_A3_20170411_MH_W3110_control_cipro_IMAC_1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell		1		enrichment of phosphorylated Protein	Proteomic profiling by mass spectrometry	run 5	1	OR14_A3_20170411_MH_W3110_control_cipro_IMAC_1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR14_A3_20170411_MH_W3110_control_cipro_IMAC_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell		2		enrichment of phosphorylated Protein	Proteomic profiling by mass spectrometry	run 6	1	OR14_A3_20170411_MH_W3110_control_cipro_IMAC_2.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR14_A3_20170411_MH_W3110_control_cipro_IMAC_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell		3		enrichment of phosphorylated Protein	Proteomic profiling by mass spectrometry	run 7	1	OR14_A3_20170411_MH_W3110_control_cipro_IMAC_3.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR14_A3_20170411_MH_W3110_D3_cipro_IMAC_1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	1	3 day	enrichment of phosphorylated Protein	Proteomic profiling by mass spectrometry	run 1	1	OR14_A3_20170411_MH_W3110_D3_cipro_IMAC_1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR14_A3_20170411_MH_W3110_D3_cipro_IMAC_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	2	3 day	enrichment of phosphorylated Protein	Proteomic profiling by mass spectrometry	run 2	1	OR14_A3_20170411_MH_W3110_D3_cipro_IMAC_2.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR14_A3_20170411_MH_W3110_D3_cipro_IMAC_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	3	3 day	enrichment of phosphorylated Protein	Proteomic profiling by mass spectrometry	run 3	1	OR14_A3_20170411_MH_W3110_D3_cipro_IMAC_3.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR14_A3_20170502_MH_MCR1_D4_blank_IMAC_1.raw	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell		1	4 day	enrichment of phosphorylated Protein	Proteomic profiling by mass spectrometry	run 8	1	OR14_A3_20170502_MH_MCR1_D4_blank_IMAC_1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR14_A3_20170502_MH_MCR1_D4_blank_IMAC_2.raw	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell		2	4 day	enrichment of phosphorylated Protein	Proteomic profiling by mass spectrometry	run 9	1	OR14_A3_20170502_MH_MCR1_D4_blank_IMAC_2.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR14_A3_20170502_MH_MCR1_D4_blank_IMAC_3.raw	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell		3	4 day	enrichment of phosphorylated Protein	Proteomic profiling by mass spectrometry	run 10	1	OR14_A3_20170502_MH_MCR1_D4_blank_IMAC_3.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR14_A3_20170504_MH_W3110_colistin_blank_IMAC_1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell		1		enrichment of phosphorylated Protein	Proteomic profiling by mass spectrometry	run 14	1	OR14_A3_20170504_MH_W3110_colistin_blank_IMAC_1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR14_A3_20170504_MH_W3110_colistin_blank_IMAC_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell		2		enrichment of phosphorylated Protein	Proteomic profiling by mass spectrometry	run 15	1	OR14_A3_20170504_MH_W3110_colistin_blank_IMAC_2.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR14_A3_20170504_MH_W3110_colistin_blank_IMAC_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell		3		enrichment of phosphorylated Protein	Proteomic profiling by mass spectrometry	run 16	1	OR14_A3_20170504_MH_W3110_colistin_blank_IMAC_3.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR14_A3_20170504_MH_W3110_D4_colistin_IMAC_1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Colistin	1	4 day	enrichment of phosphorylated Protein	Proteomic profiling by mass spectrometry	run 11	1	OR14_A3_20170504_MH_W3110_D4_colistin_IMAC_1.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR14_A3_20170504_MH_W3110_D4_colistin_IMAC_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Colistin	2	4 day	enrichment of phosphorylated Protein	Proteomic profiling by mass spectrometry	run 12	1	OR14_A3_20170504_MH_W3110_D4_colistin_IMAC_2.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR14_A3_20170504_MH_W3110_D4_colistin_IMAC_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Colistin	3	4 day	enrichment of phosphorylated Protein	Proteomic profiling by mass spectrometry	run 13	1	OR14_A3_20170504_MH_W3110_D4_colistin_IMAC_3.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR14_A3_20170411_MH_W3110_D7_cipro_IMAC_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	1	7 day	enrichment of phosphorylated Protein	Proteomic profiling by mass spectrometry	run 4	1	OR14_A3_20170411_MH_W3110_D7_cipro_IMAC_2.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR14_A3_20170505_MH_W3110_D7_cipro_IMAC_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	2	7 day	enrichment of phosphorylated Protein	Proteomic profiling by mass spectrometry	run 17	1	OR14_A3_20170505_MH_W3110_D7_cipro_IMAC_3.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
OR14_A3_20170505_MH_W3110_D7_cipro_IMAC_4.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	3	7 day	enrichment of phosphorylated Protein	Proteomic profiling by mass spectrometry	run 18	1	OR14_A3_20170505_MH_W3110_D7_cipro_IMAC_4.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	4.5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27 %	
