source name	characteristics[biological replicate]	characteristics[cell type]	characteristics[disease]	characteristics[organism part]	characteristics[organism]	characteristics[strain/breed]	characteristics[treatment]	technology type	assay name	comment[alkylation reagent]	comment[cleavage agent details]	comment[collision energy]	comment[data file]	comment[dissociation method]	comment[file uri]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[technical replicate]	comment[tool metadata]
sample 11	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 11	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0082.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0082.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 12	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 12	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0084.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0084.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 13	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 13	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0086.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0086.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 14	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 14	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0088.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0088.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 15	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 15	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0090.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0090.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 16	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 16	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0092.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0092.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 17	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 17	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0094.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0094.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 18	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 18	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0096.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0096.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 19	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 19	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0098.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0098.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 20	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 20	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0100.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0100.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 21	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 21	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0102.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0102.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 22	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 22	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0104.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0104.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 23	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 23	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0106.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0106.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 24	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 24	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0108.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0108.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 25	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 25	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0110.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0110.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 26	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 26	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0112.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0112.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 27	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 27	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0114.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0114.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 28	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 28	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0116.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0116.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 29	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 29	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0118.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0118.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 30	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 30	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0120.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0120.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 31	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 31	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0122.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0122.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 32	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 32	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0124.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0124.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 33	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 33	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0126.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0126.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 34	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 34	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0128.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0128.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 35	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 35	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0130.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0130.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 36	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 36	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0132.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0132.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 37	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 37	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	allSpectra.HCD.FTMS.iso_0.apl	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/allSpectra.HCD.FTMS.iso_0.apl	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 38	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 38	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	allSpectra.HCD.FTMS.iso_1.apl	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/allSpectra.HCD.FTMS.iso_1.apl	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 39	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 39	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	allSpectra.HCD.FTMS.iso_10.apl	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/allSpectra.HCD.FTMS.iso_10.apl	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 40	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 40	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	allSpectra.HCD.FTMS.iso_100.apl	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/allSpectra.HCD.FTMS.iso_100.apl	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 41	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 41	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	allSpectra.HCD.FTMS.iso_101.apl	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/allSpectra.HCD.FTMS.iso_101.apl	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 42	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 42	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	allSpectra.HCD.FTMS.iso_102.apl	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/allSpectra.HCD.FTMS.iso_102.apl	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 43	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 43	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	allSpectra.HCD.FTMS.iso_103.apl	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/allSpectra.HCD.FTMS.iso_103.apl	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 44	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 44	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	allSpectra.HCD.FTMS.iso_104.apl	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/allSpectra.HCD.FTMS.iso_104.apl	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 45	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 45	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	allSpectra.HCD.FTMS.iso_105.apl	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/allSpectra.HCD.FTMS.iso_105.apl	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 46	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 46	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	allSpectra.HCD.FTMS.iso_106.apl	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/allSpectra.HCD.FTMS.iso_106.apl	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 47	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 47	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	allSpectra.HCD.FTMS.iso_107.apl	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/allSpectra.HCD.FTMS.iso_107.apl	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 48	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 48	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	allSpectra.HCD.FTMS.iso_108.apl	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/allSpectra.HCD.FTMS.iso_108.apl	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
