source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]
sample 11	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 11	Not available	QX1_20_0730.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0730.raw
sample 12	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 12	Not available	QX1_20_0756.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0756.raw
sample 13	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 13	Not available	QX1_20_0758.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0758.raw
sample 14	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 14	Not available	QX1_20_0760.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0760.raw
sample 15	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 15	Not available	QX1_20_0762.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0762.raw
sample 16	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 16	Not available	QX1_20_0764.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0764.raw
sample 17	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 17	Not available	QX1_20_0766.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0766.raw
sample 18	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 18	Not available	QX1_20_0768.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0768.raw
sample 19	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 19	Not available	QX1_20_0770.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0770.raw
sample 20	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 20	Not available	QX1_20_0772.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0772.raw
sample 21	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 21	Not available	QX1_20_0776.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0776.raw
sample 22	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 22	Not available	QX1_20_0778.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0778.raw
sample 23	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 23	Not available	QX1_20_0798.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0798.raw
sample 24	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 24	Not available	QX1_20_0800.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0800.raw
sample 25	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 25	Not available	QX1_20_0802.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0802.raw
sample 26	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 26	Not available	QX1_20_0804.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0804.raw
sample 27	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 27	Not available	QX1_20_0806.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0806.raw
sample 28	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 28	Not available	QX1_20_0808.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0808.raw
sample 29	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 29	Not available	QX1_20_0810.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0810.raw
sample 30	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 30	Not available	QX1_20_0812.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0812.raw
sample 31	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 31	Not available	QX1_20_0814.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0814.raw
sample 32	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 32	Not available	QX1_20_0816.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0816.raw
sample 33	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 33	Not available	QX1_20_0820.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0820.raw
sample 34	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 34	Not available	QX1_20_0822.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0822.raw
sample 35	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 35	Not available	QX1_20_0824.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0824.raw
sample 36	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 36	Not available	QX1_20_0826.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0826.raw
sample 37	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 37	Not available	QX1_20_0828.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0828.raw
sample 38	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 38	Not available	QX1_20_0830.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0830.raw
sample 39	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 39	Not available	QX1_20_0832.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0832.raw
sample 40	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 40	Not available	QX1_20_0834.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0834.raw
sample 41	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 41	Not available	QX1_20_0836.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0836.raw
sample 42	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 42	Not available	QX1_20_0838.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0838.raw
sample 43	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 43	Not available	QX1_20_0840.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0840.raw
sample 44	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 44	Not available	QX1_20_0845.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0845.raw
sample 45	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 45	Not available	QX1_20_0914.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0914.raw
sample 46	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 46	Not available	QX1_20_0930.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0930.raw
sample 47	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 47	Not available	QX1_20_0978.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0978.raw
sample 48	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 48	Not available	QX1_20_0980.raw	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/QX1_20_0980.raw
sample 49	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 49	Not available	allSpectra.HCD.FTMS.iso_0.apl	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.iso_0.apl
sample 50	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	Not applicable	Not available	Proteomic profiling by mass spectrometry	run 50	Not available	allSpectra.HCD.FTMS.iso_1.apl	Not available	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026425/allSpectra.HCD.FTMS.iso_1.apl
