source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]
Sample 11	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 11	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip1.raw
Sample 12	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 12	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#11_BR3_FASP2_tip2.raw
Sample 13	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 13	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#28_BR1_run1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#28_BR1_run1.raw
Sample 14	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 14	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#28_BR1_run2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#28_BR1_run2.raw
Sample 15	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 15	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#28_BR2_run1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#28_BR2_run1.raw
Sample 16	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 16	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#28_BR2_run2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#28_BR2_run2.raw
Sample 17	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 17	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#28_BR3_run1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#28_BR3_run1.raw
Sample 18	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 18	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#28_BR3_run2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#28_BR3_run2.raw
Sample 19	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 19	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#28_BR3_run3.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#28_BR3_run3.raw
Sample 20	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 20	Proteomic profiling by mass spectrometry	1	1DLC110217QE_antiEcoli_#28_BR3_run4.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC110217QE_antiEcoli_#28_BR3_run4.raw
Sample 21	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 21	Proteomic profiling by mass spectrometry	1	1DLC112017QE_antiEcoli_#18_BR2_FASP2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112017QE_antiEcoli_#18_BR2_FASP2.raw
Sample 22	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 22	Proteomic profiling by mass spectrometry	1	1DLC112017QE_antiEcoli_#18_BR2_FASP3.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112017QE_antiEcoli_#18_BR2_FASP3.raw
Sample 23	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 23	Proteomic profiling by mass spectrometry	1	1DLC112017QE_antiEcoli_#19_BR2_FASP1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112017QE_antiEcoli_#19_BR2_FASP1.raw
Sample 24	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 24	Proteomic profiling by mass spectrometry	1	1DLC112017QE_antiEcoli_#19_BR2_FASP2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112017QE_antiEcoli_#19_BR2_FASP2.raw
Sample 25	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 25	Proteomic profiling by mass spectrometry	1	1DLC112017QE_antiEcoli_#19_BR2_FASP3.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112017QE_antiEcoli_#19_BR2_FASP3.raw
Sample 26	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 26	Proteomic profiling by mass spectrometry	1	1DLC112117QE_antiEcoli_#21_BR2_FASP1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112117QE_antiEcoli_#21_BR2_FASP1.raw
Sample 27	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 27	Proteomic profiling by mass spectrometry	1	1DLC112117QE_antiEcoli_#21_BR2_FASP2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112117QE_antiEcoli_#21_BR2_FASP2.raw
Sample 28	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 28	Proteomic profiling by mass spectrometry	1	1DLC112117QE_antiEcoli_#21_BR2_FASP3.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112117QE_antiEcoli_#21_BR2_FASP3.raw
Sample 29	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 29	Proteomic profiling by mass spectrometry	1	1DLC112117QE_antiEcoli_#27_BR2_FASP1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112117QE_antiEcoli_#27_BR2_FASP1.raw
Sample 30	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 30	Proteomic profiling by mass spectrometry	1	1DLC112117QE_antiEcoli_#27_BR2_FASP2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112117QE_antiEcoli_#27_BR2_FASP2.raw
Sample 31	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 31	Proteomic profiling by mass spectrometry	1	1DLC112117QE_antiEcoli_#27_BR2_FASP3.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112117QE_antiEcoli_#27_BR2_FASP3.raw
Sample 32	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 32	Proteomic profiling by mass spectrometry	1	1DLC112317QE_antiEcoli_#18_BR3_FASP1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#18_BR3_FASP1.raw
Sample 33	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 33	Proteomic profiling by mass spectrometry	1	1DLC112317QE_antiEcoli_#18_BR3_FASP2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#18_BR3_FASP2.raw
Sample 34	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 34	Proteomic profiling by mass spectrometry	1	1DLC112317QE_antiEcoli_#18_BR3_FASP3.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#18_BR3_FASP3.raw
Sample 35	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 35	Proteomic profiling by mass spectrometry	1	1DLC112317QE_antiEcoli_#19_BR3_FASP1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#19_BR3_FASP1.raw
Sample 36	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 36	Proteomic profiling by mass spectrometry	1	1DLC112317QE_antiEcoli_#19_BR3_FASP2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#19_BR3_FASP2.raw
Sample 37	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 37	Proteomic profiling by mass spectrometry	1	1DLC112317QE_antiEcoli_#29_BR2_FASP1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#29_BR2_FASP1.raw
Sample 38	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 38	Proteomic profiling by mass spectrometry	1	1DLC112317QE_antiEcoli_#29_BR2_FASP2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#29_BR2_FASP2.raw
Sample 39	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 39	Proteomic profiling by mass spectrometry	1	1DLC112317QE_antiEcoli_#29_BR2_FASP3.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#29_BR2_FASP3.raw
Sample 40	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 40	Proteomic profiling by mass spectrometry	1	1DLC112317QE_antiEcoli_#30_BR2_FASP1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#30_BR2_FASP1.raw
Sample 41	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 41	Proteomic profiling by mass spectrometry	1	1DLC112317QE_antiEcoli_#30_BR2_FASP2.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#30_BR2_FASP2.raw
Sample 42	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 42	Proteomic profiling by mass spectrometry	1	1DLC112317QE_antiEcoli_#30_BR2_FASP3.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC112317QE_antiEcoli_#30_BR2_FASP3.raw
Sample 43	Escherichia coli	Cell lysate	Escherichia coli str. W0153	Not applicable	Prokaryotic cell	Not available	Not available	Run 43	Proteomic profiling by mass spectrometry	1	1DLC11517QE_antiEcoli_#18_BR1_FASP1.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	20 ppm	5 ppm	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD016001/1DLC11517QE_antiEcoli_#18_BR1_FASP1.raw
