source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[treatment]	characteristics[growth stage]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	Factor value[treatment]	Factor value[growth stage]
Switcher Early plateau replicate_2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Recombineered	Early plateau	Not applicable	Prokaryotic cell	2	Run 11	Proteomic profiling by mass spectrometry	1	210308_17_Orbi2_KN_SER_G180_T210_K2rmas_3-84-4_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=LysC; AC=1001309"	"NT=HCD; AC=MS:1002481"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210308_17_Orbi2_KN_SER_G180_T210_K2rmas_3-84-4_2,25ug_iRT_150pg.raw	Recombineered	Early plateau
Switcher Early plateau replicate_3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Recombineered	Early plateau	Not applicable	Prokaryotic cell	3	Run 12	Proteomic profiling by mass spectrometry	1	210308_05_Orbi2_KN_SER_G180_T210_K2rmas_3-84-6_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=LysC; AC=1001309"	"NT=HCD; AC=MS:1002481"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210308_05_Orbi2_KN_SER_G180_T210_K2rmas_3-84-6_2,25ug_iRT_150pg.raw	Recombineered	Early plateau
Switcher Growing replicate_1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Recombineered	Growing	Not applicable	Prokaryotic cell	1	Run 13	Proteomic profiling by mass spectrometry	1	210308_13_Orbi2_KN_SER_G180_T210_K2rmas_1-84-4_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=LysC; AC=1001309"	"NT=HCD; AC=MS:1002481"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210308_13_Orbi2_KN_SER_G180_T210_K2rmas_1-84-4_2,25ug_iRT_150pg.raw	Recombineered	Growing
Switcher Growing replicate_2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Recombineered	Growing	Not applicable	Prokaryotic cell	2	Run 14	Proteomic profiling by mass spectrometry	1	210309_09_Orbi2_KN_SER_G180_T210_K2rmas_1-84-5_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=LysC; AC=1001309"	"NT=HCD; AC=MS:1002481"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210309_09_Orbi2_KN_SER_G180_T210_K2rmas_1-84-5_2,25ug_iRT_150pg.raw	Recombineered	Growing
Switcher Growing replicate_3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Recombineered	Growing	Not applicable	Prokaryotic cell	3	Run 15	Proteomic profiling by mass spectrometry	1	210308_11_Orbi2_KN_SER_G180_T210_K2rmas_1-84-6_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=LysC; AC=1001309"	"NT=HCD; AC=MS:1002481"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210308_11_Orbi2_KN_SER_G180_T210_K2rmas_1-84-6_2,25ug_iRT_150pg.raw	Recombineered	Growing
Switcher Late plateau replicate_1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Recombineered	Late plateau	Not applicable	Prokaryotic cell	1	Run 16	Proteomic profiling by mass spectrometry	1	210311_05_Orbi2_SK_SER_G180_T210_K2rmas_4-84-4_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=LysC; AC=1001309"	"NT=HCD; AC=MS:1002481"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210311_05_Orbi2_SK_SER_G180_T210_K2rmas_4-84-4_2,25ug_iRT_150pg.raw	Recombineered	Late plateau
Switcher Late plateau replicate_2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Recombineered	Late plateau	Not applicable	Prokaryotic cell	2	Run 17	Proteomic profiling by mass spectrometry	1	210309_01_Orbi2_KN_SER_G180_T210_K2rmas_4-84-5_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=LysC; AC=1001309"	"NT=HCD; AC=MS:1002481"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210309_01_Orbi2_KN_SER_G180_T210_K2rmas_4-84-5_2,25ug_iRT_150pg.raw	Recombineered	Late plateau
Switcher Late plateau replicate_3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Recombineered	Late plateau	Not applicable	Prokaryotic cell	3	Run 18	Proteomic profiling by mass spectrometry	1	210308_09_Orbi2_KN_SER_G180_T210_K2rmas_4-84-6_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=LysC; AC=1001309"	"NT=HCD; AC=MS:1002481"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210308_09_Orbi2_KN_SER_G180_T210_K2rmas_4-84-6_2,25ug_iRT_150pg.raw	Recombineered	Late plateau
Switcher Low plateau replicate_1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Recombineered	Low plateau	Not applicable	Prokaryotic cell	1	Run 19	Proteomic profiling by mass spectrometry	1	210309_13_Orbi2_KN_SER_G180_T210_K2rmas_2-84-8_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=LysC; AC=1001309"	"NT=HCD; AC=MS:1002481"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210309_13_Orbi2_KN_SER_G180_T210_K2rmas_2-84-8_2,25ug_iRT_150pg.raw	Recombineered	Low plateau
Switcher Low plateau replicate_2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Recombineered	Low plateau	Not applicable	Prokaryotic cell	2	Run 20	Proteomic profiling by mass spectrometry	1	210311_09_Orbi2_SK_SER_G180_T210_K2rmas_2-84-10_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=LysC; AC=1001309"	"NT=HCD; AC=MS:1002481"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210311_09_Orbi2_SK_SER_G180_T210_K2rmas_2-84-10_2,25ug_iRT_150pg.raw	Recombineered	Low plateau
Switcher Low plateau replicate_3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Recombineered	Low plateau	Not applicable	Prokaryotic cell	3	Run 21	Proteomic profiling by mass spectrometry	1	210311_01_Orbi2_SK_SER_G180_T210_K2rmas_2-84-11_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"NT=LysC; AC=1001309"	"NT=HCD; AC=MS:1002481"	"NT=Carbamidomethylation; MT=fixed; AC=UNIMOD:4;TA=C"	"NT=Oxidation; MT=Variable; TA=M"	"NT=Deamidation; MT=Variable; TA=N,Q"	"NT=Acetyl; MT=Variable; PP=Protein N-term"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210311_01_Orbi2_SK_SER_G180_T210_K2rmas_2-84-11_2,25ug_iRT_150pg.raw	Recombineered	Low plateau
