source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]
ATCC_KO5	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	5	Proteomic profiling by mass spectrometry	run 11	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_05.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_05.raw
ATCC_KO6	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	6	Proteomic profiling by mass spectrometry	run 12	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_06.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_06.raw
FL10_1	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	1	Proteomic profiling by mass spectrometry	run 13	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_01.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_01.raw
FL10_2	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	2	Proteomic profiling by mass spectrometry	run 14	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_02.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_02.raw
FL10_3	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	3	Proteomic profiling by mass spectrometry	run 15	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_03.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_03.raw
FL10_4	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	4	Proteomic profiling by mass spectrometry	run 16	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_04.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_04.raw
FL10_5	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	5	Proteomic profiling by mass spectrometry	run 17	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_05.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_05.raw
FL10_6	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	6	Proteomic profiling by mass spectrometry	run 18	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_06.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_06.raw
FL10_KO_1	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	1	Proteomic profiling by mass spectrometry	run 19	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_01.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_01.raw
FL10_KO_2	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	2	Proteomic profiling by mass spectrometry	run 20	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_02.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_02.raw
FL10_KO_3	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	3	Proteomic profiling by mass spectrometry	run 21	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_03.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_03.raw
FL10_KO_4	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	4	Proteomic profiling by mass spectrometry	run 22	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_04.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_04.raw
FL10_KO_5	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	5	Proteomic profiling by mass spectrometry	run 23	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_05.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_05.raw
FL10_KO_6	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	6	Proteomic profiling by mass spectrometry	run 24	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_06.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_06.raw
FL4_1	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	1	Proteomic profiling by mass spectrometry	run 25	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_01.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_01.raw
FL4_2	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	2	Proteomic profiling by mass spectrometry	run 26	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_02.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_02.raw
FL4_3	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	3	Proteomic profiling by mass spectrometry	run 27	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_03.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_03.raw
FL4_4	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	4	Proteomic profiling by mass spectrometry	run 28	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_04.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_04.raw
FL4_5	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	5	Proteomic profiling by mass spectrometry	run 29	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_05.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_05.raw
FL4_6	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	6	Proteomic profiling by mass spectrometry	run 30	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_06.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_06.raw
FL4_KO_1	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	1	Proteomic profiling by mass spectrometry	run 31	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_01.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_01.raw
FL4_KO_2	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	2	Proteomic profiling by mass spectrometry	run 32	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_02.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_02.raw
FL4_KO_3	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	3	Proteomic profiling by mass spectrometry	run 33	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_03.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_03.raw
FL4_KO_4	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	4	Proteomic profiling by mass spectrometry	run 34	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_04.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_04.raw
FL4_KO_5	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	5	Proteomic profiling by mass spectrometry	run 35	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_05.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_05.raw
FL4_KO_6	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	6	Proteomic profiling by mass spectrometry	run 36	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_06.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_06.raw
FL19_1	Escherichia coli	Cell lysate	Escherichia coli ST1421	Not applicable	Prokaryotic cell	Ciprofloxacin	1	Proteomic profiling by mass spectrometry	run 37	1	2022-02-08_QE_BK306_AR_Ecoli_Cipro_01.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_01.raw
FL19_2	Escherichia coli	Cell lysate	Escherichia coli ST1421	Not applicable	Prokaryotic cell	Ciprofloxacin	2	Proteomic profiling by mass spectrometry	run 38	1	2022-02-08_QE_BK306_AR_Ecoli_Cipro_02.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_02.raw
FL19_3	Escherichia coli	Cell lysate	Escherichia coli ST1421	Not applicable	Prokaryotic cell	Ciprofloxacin	3	Proteomic profiling by mass spectrometry	run 39	1	2022-02-08_QE_BK306_AR_Ecoli_Cipro_03.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_03.raw
FL19_4	Escherichia coli	Cell lysate	Escherichia coli ST1421	Not applicable	Prokaryotic cell	Ciprofloxacin	4	Proteomic profiling by mass spectrometry	run 40	1	2022-02-08_QE_BK306_AR_Ecoli_Cipro_04.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_04.raw
FL19_5	Escherichia coli	Cell lysate	Escherichia coli ST1421	Not applicable	Prokaryotic cell	Ciprofloxacin	5	Proteomic profiling by mass spectrometry	run 41	1	2022-02-08_QE_BK306_AR_Ecoli_Cipro_05.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_05.raw
FL19_6	Escherichia coli	Cell lysate	Escherichia coli ST1421	Not applicable	Prokaryotic cell	Ciprofloxacin	6	Proteomic profiling by mass spectrometry	run 42	1	2022-02-08_QE_BK306_AR_Ecoli_Cipro_06.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2022-02-08_QE_BK306_AR_Ecoli_Cipro_06.raw
